 ,English,Swedish,French,Italian,German,Spanish,Russian,Romanian,Bulgarian,Macedonian,Finnish,Danish,Icelandic,Turkish,Lithuanian,Czech,Hungarian,Polish,Dutch,Portuguese_European,Portuguese_Brazilian,Chinese,Japanese,Korean
"//  COLOR KEY:
// GREEN is READY FOR TRANSLATION
// YELLOW is IN PROGRESS, DON'T TRANSLATE
// RED is UNUSED, DON'T TRANSLATE",,,,,,,,,,,,,,,,,,,,,,,,
menu_startgame,Start Game,Starta spel,Démarrer une partie,Inizia il gioco,Spiel starten,Empezar partida,Начать игру,Joc nou,Старт,Започни игра,Aloita peli,Start spillet,Hefja leik,Oyuna Başla,Pradėti žaidimą,Začít hru,Játék indítása,Rozpocznij grę,Spel starten,Começar o jogo,Iniciar jogo,开始游戏,ゲームスタート,게임 시작
menu_joingame,Join Game,Anslut till spel,Rejoindre une partie,Unisciti al gioco,Spiel beitreten,Unirse a la partida,Присоединиться к игре,Alătura-te unui joc,Онлайн,Влези во игра,Liity peliin,Deltage online,Tengjast leik,Oyuna Katıl,Prisijungti prie žaidimo,Připojit se do hry,Csatlakozás játékhoz,Dołącz do gry,Aansluiten bij spel,Entrar num jogo,Entrar em um jogo,加入游戏,ゲーム参加,게임 참여
menu_settings,Settings,Inställningar,Paramètres,Impostazioni,Einstellungen,Ajustes,Настройки,Setări,Настройки,Опции,Asetukset,Indstillinger,Stillingar,Ayarlar,Nustatymai,Nastavení,Beállítások,Ustawienia,Instellingen,Definições,Configurações,设置,設定,설정
menu_credits,Credits,Credits,Crédits,Crediti,Credits/Mitwirkende,Créditos,Создатели игры,Credite,Кредити,Кредити,Tekijät,Credits,Nafnalisti,Jenerik,Kūrėjų sąrašas,Autoři,Készítők,Kredyty,Credits,Créditos,Créditos,制作组,クレジット,제작진
OLD menu_exit,Exit,Avsluta,Quitter,Esci,Beenden,Salir,Выход,Ieși,Изход,Излез,Lopeta,Afslut,Hætta,Çıkış,Išeiti,Odejít,Kilépés,Wyjście,Afsluiten,Sair,Sair,出口,終了,종료
menu_exit,Quit,Avsluta,Quitter,,Verlassen,Salir,Выход,,,,,,,Çıkış,,,,Wyjdź,Afsluiten,,Sair,退出游戏,終了,
menu_selectcharacter,Select Character,Välj karaktär,Sélection de personnage,Seleziona personaggio,Charakter auswählen,Elegir personaje,Выбор персонажа,Alege personaj,Избери герои,Избери карактер,Valitse hahmo,Vælge Karakter,Velja karakter,Karakter Seç,Pasirinkti veikėją,Zvol si postavu,Karakter kiválasztása,Wybierz postać,Personage selecteren,Selecionar personagem,Selecionar personagem,选择角色,キャラクター選択,캐릭터 선택
menu_back,Back,Tillbaka,Retour,Indietro,Zurück,Atrás,Назад,Înapoi,Обратно,Назад,Takaisin,Tilbage,Til baka,Geri,Atgal,Zpět,Vissza,Powrót,Terug,Voltar,Voltar,返回,戻る,뒤로
menu_new,New,Ny,Nouveau,Nuovo,Neu,Nuevo,Новый,Nou,Ново,Нов,Uusi,Ny,Nýtt,Yeni,Naujas,Vytvořit,Új,Nowe,Nieuw,Novo,Novo,新建角色,新,신규
menu_remove,Remove,Ta bort,Supprimer,Rimuovi,Löschen,Borrar,Удалить,Șterge,Изтрий,Избриши,Poista,Fjern,Fjarlægja,Sil,Panaikinti,Smazat,Eltávolít,Usuń,Verwijderen,Remover,Remover,删除,削除,제거
menu_start,Start,Starta,Commencer,Inizia,Starten,Empezar,Начать,Începe,Старт,Започни,Aloita,Begynd,Byrja,Başla,Pradėti,Start,Indítás,Rozpocznij,Starten,Começar,Iniciar,开始,スタート,시작
menu_newcharacter,New Character,Ny karaktär,Nouveau personnage,Nuovo personaggio,Neuer Charakter,Personaje nuevo,Новый персонаж,Personaj nou,Нов герои,Нов карактер,Uusi hahmo,Nye Karakter,Nýr karakter,Yeni Karakter,Naujas veikėjas,Vytvořit postavu,Új karakter,Nowa postać,Nieuw personage,Nova personagem,Novo personagem,新角色,新規キャラクター,신규 캐릭터
menu_done,Done,Klar,Terminé,Fatto,Fertig,Listo,Готово,Termină,Готов,Заврши,Valmis,Færdig,Staðfesta,Tamam,Atlikta,Dokončit,Kész,Zakończ,Klaar,Terminado,Pronto,完成,完了,완료
menu_cancel,Cancel,Ångra,Annuler,Annulla,Abbrechen,Cancelar,Отмена,Anulează,Отмени,Откажи,Peruuta,Anullere,Hætta við,İptal,Atšaukti,Zrušit,Mégse,Anuluj,Annuleren,Cancelar,Cancelar,取消,キャンセル,취소
menu_name,Name,Namn,Nom,Nome,Name,Nombre,Имя,Nume,Име,Име,Nimi,Navn,Nafn,İsim,Vardas,Jméno,Név,Imię,Naam,Nome,Nome,昵称,名前,이름
menu_characterexist,A character with that name already exists.,En karaktär med detta namn finns redan.,Un personnage portant ce nom existe déjà.,Esiste già un personaggio con quel nome,Ein Charakter mit diesen Namen existiert bereits.,Ya existe un personaje con ese nombre.,Такое имя уже используется.,Un personaj cu numele acela exista deja,Герои със такова име вече състествува,Карактер со истото име веќе постои.,Samanniminen hahmo on jo olemassa.,En karakter med det same navne esktistere allerede,Þetta nafn tilheyrir öðrum karakter.,Bu isimde bir karakter zaten var.,Veikėjas tokiu vardu jau egzistuoja,Postava s tímto jménem již existuje!,Már létezik egy ilyen nevű karakter.,Postać o takiej nazwie już istnieje,Personagenaam bestaat al,Já existe uma personagem com esse nome.,Já existe uma personagem com esse nome.,该昵称已存在,その名前のキャラクターが既に存在します。 ,해당 이름을 사용하는 캐릭터가 이미 존재합니다.
menu_skintone,Skin Tone,Hudton,Couleur de peau,Tonalità pelle,Hautfarbe,Tono de piel,Цвет кожи,Tonul pielii,Цвят на кожата,Боја на кожа,Ihon sävy,Hudfarve,Húðlitur,Ten rengi,Odos atspalvis,Barva pleti,Bőrszín,Odcień skóry,Huidskleur,Tom da pele,Tom da pele,肤色,肌の色,피부색
menu_hairtone,Hair Tone,Hårton,Couleur de cheveux,Tonalità capelli,Haarfarbe,Tono de pelo,Цвет волос,Culoarea parului,Цвят на косата,Боја на коса,Hiusten sävy,Hårfarve,Hárlitur,Saç Rengi,Plaukų atspalvis,Barva vlasů,Hajszín,Odcień włosów,Haarkleur,Tom do cabelo,Cor do cabelo,发色,髪の色,머리색
menu_blondness,Blondness,Blondhet,Clareté,Chiarezza,Blondheit,Claridad,Глубина цвета,Claritate,Русо,Обелување,Hiusten vaaleus,Blond niveu,Styrkur lits,Sarışınlık,Plaukų šviesumas,Světlost vlasů,Szőkeség,Jasność włosów,Blondheid,Louro,Loiro,金发程度,金髪,금발
menu_hair,Hair,Hår,Cheveux,Capelli,Haar,Pelo,Прическа,Par,Коса,Коса,Hiustyyli,Hår,Hár,Saç,Plaukai,Vlasy,Haj,Włosy,Haar,Cabelo,Cabelo,头发,髪,머리카락
menu_beard,Beard,Skägg,Barbe,Barba,Bart,Barba,Борода,Barba,Брада,Брада,Parran tyyli,Skæg,Skegg,Sakal,Barzda,Vousy,Szakáll,Broda,Baard,Barba,Barba,胡须,髭,수염
menu_selectworld,Select World,Välj värld,Sélection du monde,Seleziona mondo,Welt auswählen,Elegir mundo,Выбор мира,Selecteaza lumea,Избери свят,Избери свет,Valitse maailma,Vælge verden,Velja heim,Dünya Seç,Pasirinkti pasaulį,Zvolte svět,Világ választása,Wybierz świat,Wereld selecteren,Selecionar mundo,Selecionar mundo,选择世界,ワールド選択,세계 선택
menu_serverpassword,Server Password,Lösenord på server,Mot de passe du serveur,Server password,Server Passwort,Contraseña del servidor,Пароль сервера,Parola server,Парола,Лозинка за сервер,Palvelimen salasana,Server Kodeord,Lykilorð netþjóns,Sunucu Şifresi,Serverio slaptažodis,Heslo serveru,Szerverjelszó,Hasło,Serverwachtwoord,Password do servidor,Senha do servidor,服务器密码,サーバーパスワード,서버 비밀번호
menu_startserver,Start Server,Starta server,Démarrer le serveur,Inizia server,Server starten,Abrir el servidor,Запустить сервер,Porneste serverul,Старт сървър,Стартувај сервер,Käynnistä palvelin,Start servern,Ræsa netþjón,Sunucuyu Başlat,Pradėti serverį,Spustit server,Szerver indítása,Uruchom serwer,Server starten,Iniciar servidor,Iniciar servidor,启动服务器,サーバー起動,서버 시작
menu_public,Public,Publik,Public,Pubblico,Öffentlich,Público,Публичный,Public,Публичен,Јавен,Julkinen,Offentlig,Opinber,Herkese Açık,Viešas,Veřejná hra,Nyilvános,Publiczny,Openbaar,Público,Público,公开,公開,공개
